"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","OWS","DWS","WS","CalledUp","Pos","WT","HT","Draft","pic"
"34","B.J. Boston, Jr.","ACC",3,36.3,20,7.3,16,0.458,1.7,5.3,0.313,2,3,0.667,1.3,3,4.3,4,1,1,1.3,2,0.577,0.51,143.8,4.1,9.1,6.6,15.9,7.1,1.4,2.3,22.4,3.8,1.3,115.8,120.3,-4.4,42.4,16.8,0.264,3,0.8,0.2,1,2,0.333,0.1,0,0.2,0,"SG",188,78,"Rnd 2",48.45
"35","James Bouknight","GBO",7,31.7,21.4,6.7,15,0.448,1.6,4.7,0.333,3.4,4,0.857,2,3.9,5.9,5,1.9,1.1,4.3,2.1,0.639,0.5,163.8,7,13,10.1,26,20.4,2.8,3,29,-3,1.4,102.8,119.8,-16.9,113.5,18.1,0.298,1.2,0.4,0.3,2,5,0.286,-0.1,0.1,0,0,"G",190,76,"Rnd 1",129.15
"36","Jordan Bowden","LIN",18,23.2,7.5,2.8,6.9,0.408,1.2,4.6,0.268,0.4,0.6,0.727,0.6,2.4,3,1.4,0.8,0.1,0.7,1.8,0.52,0.496,140.4,2.4,10.9,6.6,8.4,9.1,1.8,0.4,14.3,0.9,1.1,110.9,114.7,-3.7,93.1,9.9,0.105,1.9,1.2,0.1,10,8,0.556,0.2,0.4,0.6,0,"GF",195,77,"Undrafted",101.7
"37","Brian Bowen II","IWA",15,29.5,13.8,5.3,11.6,0.46,1,4.3,0.234,1.7,2.1,0.781,1.5,6,7.5,1.3,0.4,0.3,2.5,1.7,0.55,0.503,147.5,5.5,20.6,13.4,6.7,16.4,0.7,1,22.1,-5.5,1.2,97.9,112.6,-14.7,134.5,11.7,0.165,0.5,0.2,0.2,7,8,0.467,-0.4,0.5,0.2,0,"SF",199,79,"Undrafted",172.5
"38","Pedro Bradshaw","FWN",24,16.7,4.8,1.4,4.1,0.337,0.7,2,0.327,1,1.2,0.821,1.1,2.5,3.6,1.2,0.7,0.3,0.5,1.1,0.526,0.418,148.5,6.8,15.7,11.1,9.2,9.1,1.9,1.3,12.6,1.9,1.2,110.2,111.2,-1,128.8,10.9,0.063,2.5,1.5,0.3,13,11,0.542,0.2,0.5,0.7,0,"G",180,79,"Undrafted",129.6
"39","Isaiah Briscoe","IWA",18,27.6,13.4,4.7,10.3,0.452,1.2,3.4,0.339,1.8,2.7,0.673,0.6,4.1,4.7,4.6,0.9,0.2,2.9,3.2,0.581,0.508,146.4,2.2,15,8.8,24.6,20.3,1.6,0.5,22.6,0.5,1.3,101.1,111.4,-10.3,168.6,12.2,0.226,1.6,0.3,0.3,10,8,0.556,-0.3,0.7,0.4,0,"PG",210,75,"Undrafted",194.4
"40","Bryce Brown","LIN",30,29,12.9,4.4,11.7,0.373,2.7,8.4,0.324,0.9,1.1,0.765,0.7,3.2,3.8,1.8,1,0.3,1.5,2.2,0.527,0.49,146.2,2.3,11,6.7,8.9,11.2,1.6,1,19.9,-1.2,1.1,102.6,114.1,-11.5,213.8,10.4,0.152,1.2,0.6,0.1,17,13,0.567,-0.2,0.9,0.7,0,"SG",190,75,"Undrafted",246
"41","Isaiah Brown","TEX",34,24.6,6.4,2.4,5.6,0.424,1,2.9,0.35,0.3,0.4,0.733,0.9,2.4,3.4,1.2,1.2,0.2,1.1,2.1,0.549,0.516,150.7,3.9,10.4,7.2,6.8,15.8,2.4,0.8,12.3,-1.1,1.1,101.8,117.2,-15.4,177.9,9,0.09,1.1,1.1,0.1,19,15,0.559,-0.2,0.6,0.4,0,"SG",180,79,"Undrafted",178.5
"42","Charlie Brown, Jr.","DEL",10,29.5,15.9,5.6,13.4,0.418,2,5.4,0.37,1.6,1.9,0.842,1.4,5.1,6.5,2.6,1.8,1.1,2.1,1.7,0.558,0.493,163,4.9,17.5,11.3,10.9,12.9,2.7,3.2,22.5,-1.2,1.2,103.1,110.5,-7.5,129.1,15.2,0.172,1.2,0.9,0.1,7,3,0.7,-0.1,0.4,0.4,1,"SG",199,78,"Undrafted",147.5
"43","Chaundee Brown, Jr.","SBL",30,30.4,15.2,5.9,13.2,0.447,1.9,5.9,0.328,1,1.2,0.833,1.2,3.6,4.8,1.6,0.6,0.2,1.6,2.1,0.554,0.52,160.8,4.2,12.8,8.5,7.3,10.4,1,0.6,21.1,-1.7,1.2,106.4,117.5,-11,255.3,12,0.168,1,0.4,0.1,20,10,0.667,0.2,0.6,0.7,1,"SF",215,77,"Undrafted",315
"44","Jared Brownridge","DEL",30,23.3,11.6,3.9,9.7,0.405,3,7.8,0.387,0.5,0.7,0.682,0.3,1.8,2.1,1.8,0.6,0.3,0.7,1,0.577,0.562,147.5,1.3,8,4.6,10.1,6.5,1.2,1.1,18.9,2,1.2,114.5,117.1,-2.6,214,12.9,0.128,2.5,0.9,0.1,20,10,0.667,0.7,0.5,1.1,0,"G",197,73,"Undrafted",252
"45","Shaq Buchanan","MHU",34,35.4,20.3,7.3,17.3,0.421,2.1,7.6,0.284,2.2,3,0.735,1.2,4.8,6,3.7,1.9,0.4,2.8,1.7,0.545,0.483,144,3.5,14.3,8.8,16.3,12.9,2.5,0.9,25.9,-0.9,1.2,100.3,114,-13.6,452,14.8,0.268,1.3,0.7,0.2,15,19,0.441,-0.8,1.3,0.5,1,"G",190,75,"Undrafted",550.8
"46","Marcus Burk","GRG",28,33,12.2,4,10.5,0.386,2.6,7.2,0.356,1,1.2,0.848,0.4,2.4,2.8,1.2,0.9,0.3,0.7,2.3,0.556,0.509,159.1,1.4,7.5,4.5,5.2,6.1,1.4,0.7,15.6,0.3,1.2,106.8,116.2,-9.4,186.6,9.1,0.13,1.7,1.3,0.1,16,12,0.571,0.1,0.7,0.9,0,"G",205,75,"Undrafted",205.8
"47","Deonte Burton","MNE",32,31.4,15.1,5.8,11.4,0.505,1,2.9,0.344,1.7,2.2,0.746,1.4,4.7,6.1,3.4,1.2,0.6,2.5,2.5,0.607,0.549,159.6,4.9,15.2,10.2,16.1,16.8,1.8,1.8,20.5,-0.7,1.3,106.6,114,-7.4,385.9,14.4,0.222,1.4,0.5,0.2,16,16,0.5,0.2,1.1,1.2,0,"F",240,76,"Undrafted",457.6
