,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
55,Malachi Flynn,RAP,6,34.4,20.8,7.7,17.3,0.442,3.0,7.3,0.409,1.8,2.0,0.917,0.8,3.7,4.5,5.5,1.5,0.3,2.2,3.0,0.5720000000000001,0.529,176.8,2.6,10.5,6.7,23.1,10.6,2.1,0.9,24.7,4.3,1.2,116.6,117.8,-1.2,86.0,19.5,0.3,2.5,0.7,0.1,4,2,0.667,0.4,0.0,0.5
56,Jordan Ford,ACC,15,27.2,13.9,5.4,11.5,0.47100000000000003,1.9,4.5,0.433,0.8,0.9,0.9229999999999999,0.7,1.7,2.4,3.5,0.7,0.0,0.9,1.6,0.588,0.555,182.7,2.5,6.9,4.6,21.5,7.3,1.3,0.0,20.3,5.4,1.2,121.1,115.1,5.9,142.6,18.1,0.231,3.8,0.8,0.1,5,10,0.33299999999999996,0.9,0.2,1.1
57,Robert Franks,LAK,14,24.5,12.1,4.3,8.4,0.508,1.5,4.2,0.35600000000000004,1.3,1.6,0.7829999999999999,1.1,5.6,6.7,1.5,0.2,0.5,1.8,2.2,0.66,0.597,164.7,4.9,22.6,14.0,9.5,16.3,0.4,1.8,19.6,-3.3,1.4,109.0,105.9,3.1,136.9,16.3,0.147,0.8,0.1,0.2,9,5,0.643,0.3,0.5,0.8
58,"Melvin Frazier, Jr.",OKL,12,20.7,6.8,2.3,6.2,0.37799999999999995,1.1,2.9,0.371,0.6,0.8,0.7,0.4,3.0,3.4,1.8,1.1,0.1,1.7,1.6,0.523,0.466,145.0,2.0,13.1,7.8,11.3,20.3,2.4,0.3,16.1,-2.1,1.1,91.6,108.2,-16.7,61.3,8.5,0.09699999999999999,1.1,0.7,0.1,6,6,0.5,-0.2,0.3,0.1
59,Michael Frazier,DEL,12,24.5,12.8,4.9,11.8,0.415,1.4,5.0,0.28300000000000003,1.2,1.4,0.8240000000000001,0.6,2.8,3.3,2.2,0.8,0.4,2.0,1.4,0.512,0.475,152.2,2.3,12.7,7.1,12.8,13.8,1.6,1.6,24.6,-2.2,1.1,95.4,111.2,-15.8,80.4,12.3,0.166,1.1,0.4,0.1,8,4,0.667,-0.3,0.3,0.0
60,Billy Garrett,LAK,13,29.4,11.7,4.1,10.7,0.381,1.0,3.2,0.31,1.5,1.8,0.833,0.4,2.5,2.8,5.3,0.8,0.1,2.2,2.7,0.508,0.428,152.4,1.4,8.3,4.9,26.8,15.8,1.3,0.2,20.4,4.8,1.1,97.6,110.2,-12.6,102.3,10.4,0.24,2.5,0.4,0.2,8,5,0.615,-0.2,0.4,0.2
61,Kaiser Gates,LIN,12,26.8,9.1,3.0,7.3,0.409,2.2,6.1,0.35600000000000004,0.5,0.5,1.0,0.8,4.4,5.2,1.1,1.4,0.7,0.5,1.8,0.601,0.557,176.5,3.1,18.4,10.8,6.0,6.2,2.6,2.4,13.4,0.8,1.2,114.7,111.5,3.2,111.0,14.5,0.109,2.2,2.8,0.1,5,7,0.41700000000000004,0.3,0.3,0.6
62,Romaro Gill,SLC,12,16.4,3.9,1.4,2.8,0.515,0.0,0.0,0.0,0.6,0.9,0.636,0.9,2.2,3.1,0.5,0.3,1.8,0.8,2.6,0.621,0.515,115.2,5.5,14.4,9.7,4.8,20.9,1.0,10.5,10.9,-3.2,1.4,97.2,102.8,-5.6,54.1,11.8,0.055,0.6,0.4,0.3,4,8,0.33299999999999996,-0.1,0.4,0.3
63,Freddie Gillespie,MHU,15,27.8,10.5,4.9,8.5,0.57,0.0,0.2,0.0,0.5,1.3,0.42100000000000004,3.7,6.5,10.3,1.8,1.3,2.3,2.1,3.3,0.579,0.57,99.1,12.7,24.7,18.4,9.7,19.0,2.2,7.4,16.8,-3.3,1.2,108.0,100.1,7.9,207.4,20.2,0.165,0.8,0.6,0.1,6,9,0.4,0.3,1.0,1.2
64,Donte Grantham,ACC,13,25.5,8.6,3.2,8.7,0.37200000000000005,1.3,4.7,0.27899999999999997,0.5,0.6,0.875,1.7,5.4,7.1,2.5,0.7,0.2,1.5,1.6,0.48100000000000004,0.447,152.5,6.9,23.0,14.7,14.7,14.6,1.4,0.8,17.9,0.4,1.0,98.3,108.8,-10.5,112.3,12.3,0.151,1.6,0.5,0.1,4,9,0.308,-0.1,0.4,0.3
65,Marcus Graves,SLC,11,22.6,8.9,3.5,8.8,0.402,1.3,4.0,0.318,0.3,0.4,0.75,0.5,2.6,3.1,3.9,0.7,0.0,1.9,1.9,0.496,0.474,147.0,2.0,13.3,7.3,29.5,17.5,1.7,0.0,21.7,3.2,1.0,96.2,110.9,-14.7,70.0,11.9,0.20800000000000002,2.0,0.4,0.0,4,7,0.364,-0.2,0.3,0.1
66,Josh Gray,FWN,14,28.9,13.0,5.2,13.6,0.382,0.9,2.9,0.317,0.9,1.2,0.765,0.5,3.5,4.0,5.9,1.6,0.2,2.1,2.3,0.45799999999999996,0.41600000000000004,146.4,1.6,12.4,6.8,30.9,13.1,2.6,0.7,23.2,6.0,1.0,96.1,107.7,-11.7,137.1,13.2,0.272,2.7,0.7,0.1,5,9,0.35700000000000004,-0.3,0.6,0.2
67,Jalen Green,IGN,15,32.0,17.9,6.3,13.6,0.461,2.1,5.7,0.365,1.9,2.3,0.8290000000000001,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,0.613,0.537,165.4,1.9,11.6,6.9,13.5,15.4,2.3,0.8,23.2,-2.5,1.3,102.2,111.9,-9.7,166.6,15.4,0.223,1.1,0.6,0.2,8,7,0.5329999999999999,0.0,0.4,0.5
68,Josh Green,SLC,6,29.7,13.5,5.8,12.8,0.455,0.5,2.8,0.17600000000000002,0.7,1.0,0.667,1.2,3.7,4.8,3.5,2.2,0.2,1.5,2.8,0.509,0.474,129.8,3.9,14.0,8.7,20.7,10.2,3.7,0.5,22.8,2.9,1.1,100.1,102.3,-2.2,62.0,17.0,0.253,2.3,1.4,0.1,3,3,0.5,0.0,0.4,0.3
69,Donta Hall,RAP,12,24.8,10.2,4.2,6.7,0.625,0.0,0.1,0.0,1.3,1.8,0.727,2.3,6.0,8.3,1.5,0.6,2.1,0.7,1.8,0.68,0.625,135.2,10.6,25.1,18.1,8.6,8.2,1.1,7.9,13.9,1.3,1.5,134.2,104.8,29.4,166.8,23.0,0.134,2.3,0.9,0.3,9,3,0.75,0.8,0.5,1.3
70,Tyler Hall,WES,14,29.6,10.1,3.3,7.9,0.418,2.8,6.7,0.415,0.4,0.4,1.0,0.9,3.1,4.1,2.6,0.8,0.3,0.9,1.6,0.633,0.595,183.3,3.2,11.6,7.2,11.2,10.4,1.3,0.8,12.9,2.6,1.3,121.5,118.7,2.8,130.1,13.0,0.138,2.8,0.8,0.0,7,7,0.5,0.6,0.0,0.7
71,Rayshaun Hammonds,FWN,12,11.8,6.1,2.7,5.7,0.47100000000000003,0.2,0.8,0.222,0.3,0.4,0.8,2.3,2.5,4.8,0.2,0.5,0.4,0.7,1.5,0.52,0.485,149.3,18.1,21.8,19.8,2.3,10.2,2.0,3.1,22.5,-4.6,1.1,105.7,104.1,1.6,66.6,20.5,0.071,0.3,0.8,0.1,4,8,0.33299999999999996,0.1,0.3,0.3
