"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","OWS","DWS","WS","CalledUp","Pos","WT","HT","Draft","pic"
"23","Oshae Brissett","FWN",12,34.6,18.6,6.4,14.7,0.438,2.2,6.5,0.333,1.8,2.5,0.733,3.5,6.3,9.8,2.3,0.8,0.6,1.9,2.3,0.589,0.511,150.4,9.5,18.7,13.9,9.9,10.8,1.1,1.5,20.8,-1.2,1.3,110.3,108.9,1.4,185.5,17.6,0.211,1.2,0.4,0.2,4,8,0.333,0.4,0.5,0.9,0,"PF",210,79,"Undrafted",202.2
"24","Armoni Brooks","RGV",15,30.6,16.8,5.7,13.3,0.427,3.8,10.1,0.375,1.1,1.1,0.941,0.5,3.3,3.8,2.9,1.1,0,0.9,1.8,0.61,0.57,174.3,1.6,10.8,6.3,14.1,6.3,1.8,0,20.3,3.3,1.3,121.4,112.6,8.8,174.4,17.8,0.207,3.1,1.2,0.1,9,6,0.6,1,0.4,1.4,0,"SG",195,75,"Undrafted",210.75
"25","Bobby Brown","IGN",12,22.6,7.3,2.8,7.1,0.388,1.1,3.8,0.289,0.3,0.4,0.8,0.2,1.8,1.9,3.9,0.3,0.1,2.2,1.2,0.499,0.465,147.7,0.9,8.5,4.8,23.7,23,0.7,0.3,18.2,2,1,91,119.8,-28.9,58.1,7.6,0.162,1.8,0.2,0.1,5,7,0.417,-0.3,0,-0.3,0,"PG",175,74,"Undrafted",67.8
"26","Bryce Brown","WES",9,17.1,5.4,1.8,5.6,0.32,1.2,4,0.306,0.4,0.7,0.667,0,2,2,1.3,0.8,0,0.6,1.3,0.465,0.43,129.2,0,13.1,6.2,10.3,8.7,2.2,0,16.3,1.9,1,92,118.6,-26.6,30.8,8,0.075,2.4,1.4,0.1,2,7,0.222,-0.1,0,-0.1,0,"SG",190,75,"Undrafted",31.5
"27","Charlie Brown, Jr.","IWA",13,30,12.5,4.5,10.2,0.447,1.7,4.8,0.355,1.1,1.3,0.824,1.1,4.4,5.5,1.9,1.7,0.4,2.4,2.2,0.584,0.53,162.5,3.9,14.9,9.6,10,18.2,2.8,1.2,19.2,-3.7,1.2,96.9,111.2,-14.3,120.9,13.1,0.168,0.8,0.7,0.1,2,11,0.154,-0.2,0.4,0.2,0,"SG",199,78,"Undrafted",139.75
"28","Moses Brown","OKL",14,26.4,18.5,7.1,13,0.549,0,0,0,2.4,3.9,0.611,6,7.9,13.9,0.7,0.6,1.7,2.4,2.6,0.629,0.549,116.1,22.4,26.9,24.8,4.2,13.8,1,5.4,25.9,-6.8,1.4,112.8,102.8,10,259.8,26.8,0.179,0.3,0.2,0.3,8,6,0.571,0.6,0.7,1.3,0,"C",245,86,"Undrafted",268.1
"29","Jared Brownridge","DEL",15,24.9,12.3,4,9.4,0.426,2.6,6.5,0.402,1.1,1.3,0.85,0.3,1.6,1.9,1.9,0.7,0.1,0.6,1.3,0.617,0.564,167.8,1.1,7.1,3.9,11,5.7,1.3,0.3,17.8,2.7,1.3,119.6,113.6,6,114.8,14.6,0.142,3.2,1.1,0.1,10,5,0.667,0.6,0.3,0.9,0,"G",197,73,"Undrafted",138
"30","Shaq Buchanan","MHU",15,30,12.9,4.5,13,0.349,1.4,4.5,0.309,1.3,1.8,0.741,1.7,4.2,5.9,1.7,1.5,0.3,1.5,2.3,0.466,0.403,139.8,5.2,14.7,9.7,8,10,2.4,1,21.2,-1.4,1,90.2,107.1,-16.9,121.9,10.3,0.153,1.1,1,0.1,6,9,0.4,-0.6,0.7,0,0,"G",190,75,"Undrafted",127.5
"31","Antonio Campbell","LAK",7,11.6,5.4,2.1,4.4,0.484,0.6,2.1,0.267,0.4,0.6,0.75,1,2.4,3.4,0,0.7,0.1,1,2.6,0.58,0.548,150.1,9.8,20.3,15.4,0,17.6,3.1,1.1,21.7,-8.9,1.2,97,100.9,-3.9,23,14.5,0.056,0,0.7,0.1,5,2,0.714,0,0.2,0.1,0,"F",265,81,"Undrafted",20.65
"32","Devin Cannady","LAK",13,25.8,11.7,4.2,9.9,0.426,2.2,5.4,0.4,0.7,0.7,1,0.2,2.5,2.8,2.7,0.7,0.2,0.9,1,0.572,0.535,182.6,0.9,9.8,5.5,16.1,8.3,1.3,0.5,19,3.5,1.2,111.4,109.5,2,107.1,14.5,0.177,2.9,0.8,0.1,8,5,0.615,0.3,0.4,0.7,0,"PG",190,73,"Undrafted",132.6
"33","Vernon Carey, Jr.","GBO",14,26.5,16,6.7,13.6,0.492,0.4,2.1,0.172,1.4,2.1,0.633,3.4,5.9,9.4,1.1,0.6,1.1,1.7,1.9,0.548,0.505,129.8,12.5,22.5,17.4,7.3,10.5,1,3.5,25.8,-3.7,1.2,103.2,111.7,-8.5,180.3,19.9,0.201,0.6,0.3,0.2,4,10,0.286,0.1,0.3,0.4,0,"PF",270,81,"Rnd 2",205.1
